date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2026-02-17,2025,"Syrian Arab Republic Humanitarian Response Plan 2025
Emergency Shelter and NFI",53250,"Belgium, Government of",Governments,BEL,2026,2026,Syrian Arab Republic Humanitarian Response Priorities 2026,HSYR26,1518,United Nations High Commissioner for Refugees,Multilateral Organizations,Emergency Shelter and NFI,SYR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-02-17,2025-12-04,,45955,EUR,0.863,379023,2025/bv/pv/252 | 25-GOV-BE-001-01,2026-02-17,2026-02-17
2026-01-25,,Unearmarked global funds,800000,"Belgium, Government of",Governments,BEL,2026,2026,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026,HCOD26,1509,Food and Agriculture Organization of the United Nations,Multilateral Organizations,Food Security,COD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-01-21,2025-12-02,,,,,375388,,2026-01-25,2026-02-06
2025-12-22,2026,Provision and distribution of agriculture inputs,600000,"Belgium, Government of",Governments,BEL,2026,2026,,,,Food and Agriculture Organization of the United Nations,Multilateral Organizations,Food Security,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2025-12-22,2025-12-02,,511200,EUR,0.852,371949,OSRO/BGD/121/BEL,2025-12-22,2026-01-02
2025-12-16,2024,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,World Food Programme,Multilateral Organizations,,,,,,2025,2026,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-10-23,2024-03-29,Multiyear,0,EUR,0.9804,371111,MU/2024/04,2025-12-16,2025-12-16
2025-12-16,2024,Food Security,5100000,"Belgium, Government of",Governments,BEL,2026,2026,,,,World Food Programme,Multilateral Organizations,Food Security,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-10-23,2024-03-29,Multiyear,5000000,EUR,0.9804,371113,MU/2024/04,2025-12-16,2025-12-16
2025-12-16,2024,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,,,,,,2025,2026,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-10-23,2024-03-11,Multiyear,0,EUR,0.8575,371114,MU/2024/03,2025-12-16,2025-12-16
2025-12-16,2024,Food Security,11661700,"Belgium, Government of",Governments,BEL,2026,2026,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,Food Security,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-10-23,2024-03-11,,10000000,EUR,0.8575,371116,MU/2024/03,2025-12-16,2025-12-16
2025-12-16,2024,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,International Committee of the Red Cross,Red Cross/Red Crescent Organizations,,,,,,2025,2026,financial,Parked,Cash transfer programming (CTP),outgoing,shared,commitment,2025-10-23,2024-03-11,Multiyear,0,EUR,0.8575,371117,MU/2024/02,2025-12-16,2025-12-16
2025-12-16,2024,MPC Support,13994040,"Belgium, Government of",Governments,BEL,2026,2026,,,,International Committee of the Red Cross,Red Cross/Red Crescent Organizations,Multipurpose Cash,,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),outgoing,single,commitment,2025-10-23,2024-03-11,Multiyear,12000000,EUR,0.8575,371119,MU/2024/02,2025-12-16,2025-12-16
2025-12-16,2024,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Multilateral Organizations,,,,,,2025,2026,financial,Parked,Cash transfer programming (CTP),outgoing,shared,commitment,2025-10-23,2024-05-24,Multiyear,0,EUR,0.8575,371120,MU/2024/01,2025-12-16,2025-12-16
2025-12-16,2024,MPC Support,8163190,"Belgium, Government of",Governments,BEL,2026,2026,,,,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Multilateral Organizations,Multipurpose Cash,,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),outgoing,single,commitment,2025-10-23,2024-05-24,Multiyear,7000000,EUR,0.8575,371122,MU/2024/01,2025-12-16,2025-12-16
2025-12-16,2024,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,Active Learning Network for Accountability and Performance,Private Organizations,,,,,,2025,2026,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-10-23,2024-03-12,Multiyear,0,EUR,0.8575,371123,MU/2024/05,2025-12-16,2025-12-16
2025-12-16,2024,Providing MHPSS services to IDPs,58308,"Belgium, Government of",Governments,BEL,2026,2026,,,,Active Learning Network for Accountability and Performance,Private Organizations,Health,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-10-23,2024-03-12,Multiyear,50000,EUR,0.8575,371125,MU/2024/05,2025-12-16,2025-12-16
2025-12-16,2024,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,The New Humanitarian,NGOs,,,,,,2025,2026,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-10-23,2024-03-12,Multiyear,0,EUR,0.8575,371126,MU/2024/06,2025-12-16,2025-12-16
2025-12-16,2024,Providing MHPSS services to IDPs,174925,"Belgium, Government of",Governments,BEL,2026,2026,,,,The New Humanitarian,NGOs,Health,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-10-23,2024-03-12,Multiyear,150000,EUR,0.8575,371128,MU/2024/06,2025-12-16,2025-12-16
2025-12-16,2025,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,International Council of Voluntary Agencies,NGOs,,,,,,2025,2026,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-10-23,2025-07-15,Multiyear,0,EUR,0.8573,371132,MU/2025/01,2025-12-16,2025-12-16
2025-12-16,2025,Ressource générale,291613,"Belgium, Government of",Governments,BEL,2026,2026,,,,International Council of Voluntary Agencies,NGOs,Logistics,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-10-23,2025-07-15,Multiyear,250000,EUR,0.8573,371134,MU/2025/01,2025-12-16,2025-12-16
2025-12-16,2025,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,IFRC Disaster Relief Emergency Fund,Pooled Funds,,,,,,2025,2026,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-10-23,2025-07-18,Multiyear,0,EUR,0.8624,371135,FF/2025/04,2025-12-16,2025-12-16
2025-12-16,2025,Ressource générale,4058425,"Belgium, Government of",Governments,BEL,2026,2026,,,,IFRC Disaster Relief Emergency Fund,Pooled Funds,Multi-sector,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-10-23,2025-07-18,Multiyear,3500000,EUR,0.8624,371137,FF/2025/04,2025-12-16,2025-12-16
2025-12-16,2025,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,WFP Immediate Response Account,Multilateral Organizations,Food Security,,,,,2025,2026,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-10-23,2025-07-16,Multiyear,0,EUR,0.8624,371138,FF/2025/03,2025-12-16,2025-12-16
2025-12-16,2025,Ressource générale,5797750,"Belgium, Government of",Governments,BEL,2026,2026,,,,WFP Immediate Response Account,Multilateral Organizations,Food Security,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-10-23,2025-07-16,Multiyear,5000000,EUR,0.8624,371140,FF/2025/03,2025-12-16,2025-12-16
2025-12-16,2025,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,United Nations Humanitarian Air Service,Multilateral Organizations,Logistics,,,,,2025,2026,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-12-02,2025-09-19,Multiyear,0,EUR,0.8611,371144,FF/2025/02,2025-12-16,2025-12-16
2025-12-16,2025,Emergency situation and for the national operation,2322540,"Belgium, Government of",Governments,BEL,2026,2026,,,,United Nations Humanitarian Air Service,Multilateral Organizations,Logistics,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-12-02,2025-09-19,Multiyear,2000000,EUR,0.8611,371146,FF/2025/02,2025-12-16,2025-12-16
2025-12-16,2025,"Belgium, Government of",0,"Belgium, Government of",Governments,BEL,2025,2026,,,,Special Fund for Emergency and Rehabilitation,Pooled Funds,Agriculture,,,,,2025,2026,financial,Parked,Traditional aid,outgoing,shared,commitment,2025-12-02,2025-11-12,Multiyear,0,EUR,0.8611,371147,FF/2025/06,2025-12-16,2025-12-16
2025-12-16,2025,For Emergency Situations,5806350,"Belgium, Government of",Governments,BEL,2026,2026,,,,Special Fund for Emergency and Rehabilitation,Pooled Funds,Agriculture,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-12-02,2025-11-12,Multiyear,5000000,EUR,0.8611,371149,FF/2025/06,2025-12-16,2025-12-16
2024-03-05,2026,Voluntary contribution to the general budget of ALNAP 2024-2026,0,"Belgium, Government of",Governments,BEL,2024,2026,,,,Active Learning Network for Accountability and Performance,Private Organizations,Health,,,,,2024,2026,financial,Parked,Traditional aid,outgoing,shared,paid,2024-12-17,2024-03-05,Multiyear,0,EUR,0.913,334294,MU/2024/05,2024-12-18,2025-12-16
2024-02-20,2024,Core funding of ICRC,0,"Belgium, Government of",Governments,BEL,2024,2026,,,,International Committee of the Red Cross,Red Cross/Red Crescent Organizations,,,,,,2024,2026,financial,Parked,Cash transfer programming (CTP),outgoing,shared,paid,2024-12-17,2024-02-20,Multiyear,0,EUR,0.913,334312,MU/2024/02,2024-12-18,2025-12-16
2026-02-05,2026,Action against Hunger	Democratic Republic of Congo	2026,781250,"Canada, Government of",Governments,CAN,2026,2026,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026,HCOD26,1509,Action Contre la Faim - Action Against Hunger International,NGOs,Multi-sector,COD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-02-05,2024-04-24,,1075000,CAD,1.376,376102,C10-2402-RDC,2026-02-05,2026-02-05
2026-01-20,2026,Health	Improved access to essential health services by the vulnerable populations in the conflict affected areas,1249275,"Canada, Government of",Governments,CAN,2026,2026,Myanmar Humanitarian Needs and Response Plan 2026,HMMR26,1505,Access to Health Fund,Pooled Funds,Health,MMR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-01-20,2026-01-01,,1707759,CAD,1.367,374229,,2026-01-28,2026-01-28
2025-05-08,2026,Humanitarian Assistance,693001,"Canada, Government of",Governments,CAN,2026,2026,Myanmar Humanitarian Needs and Response Plan 2026,HMMR26,1505,International NGOs (Confidential),NGOs,Multi-sector,MMR,,,Myanmar Earthquake 2025,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,1000000,CAD,1.443,343271,P015250,2025-05-08,2026-01-22
2025-05-08,2026,Myanmar	2026	UNHCR - Global - 2025		Multisector	Multisector humanitarian response in Myanmar,103950,"Canada, Government of",Governments,CAN,2026,2026,Myanmar Humanitarian Needs and Response Plan 2026,HMMR26,1505,UN Agencies (Confidential),Multilateral Organizations,,MMR,,,Myanmar Earthquake 2025,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,150000,CAD,1.443,343272,P015654,2025-05-08,2026-01-22
2025-05-08,2026,WHO - World Health Organization	No	Global	2026	WHO - Global CFE - 2025-2026		Health Care	Assistance in response to crisis-affected people,1386001,"Canada, Government of",Governments,CAN,2026,2026,,,,World Health Organization,Multilateral Organizations,Health,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,2000000,CAD,1.443,343311,P015711,2025-05-08,2025-05-08
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	Burkina Faso	2026	UNICEF - Multi Country - Nutrition - 2025-2026		 humanitarian crisis reponse in Burkina Faso,693001,"Canada, Government of",Governments,CAN,2026,2026,Burkina Faso Besoins Humanitaires et Plan de Réponse 2026,HBFA26,1499,United Nations Children's Fund,Multilateral Organizations,Nutrition,BFA,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,1000000,CAD,1.443,343328,P015567 SM250172,2025-05-08,2026-02-18
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	Cameroon	2026	UNICEF - Multi Country - Nutrition - 2025-2026		humanitarian crisis reponse in Cameroon,1732502,"Canada, Government of",Governments,CAN,2026,2026,Cameroon Humanitarian Needs and Response Plan 2026,HCMR26,1498,United Nations Children's Fund,Multilateral Organizations,Nutrition,CMR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,2500000,CAD,1.443,343329,P015567 SM250172,2025-05-08,2026-01-12
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund		Chad	2026	UNICEF - Multi Country - Nutrition - 2025-2026		 humanitarian crisis reponse in Chad,3118503,"Canada, Government of",Governments,CAN,2026,2026,Tchad Besoins Humanitaires et Plan de Réponse 2026,HTCD26,1501,United Nations Children's Fund,Multilateral Organizations,Nutrition,TCD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,4500000,CAD,1.443,343330,P015567 SM250172,2025-05-08,2026-02-06
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund		Democratic Republic of Congo	2026,2772003,"Canada, Government of",Governments,CAN,2026,2026,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026,HCOD26,1509,United Nations Children's Fund,Multilateral Organizations,Nutrition,COD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,4000000,CAD,1.443,343331,P015567 SM250172,2025-05-08,2026-01-30
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	Ethiopia	2026,2425502,"Canada, Government of",Governments,CAN,2026,2026,,,,United Nations Children's Fund,Multilateral Organizations,Nutrition,ETH,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,3500000,CAD,1.443,343332,P015567 SM250172,2025-05-08,2025-07-11
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	Haiti	2026,2425502,"Canada, Government of",Governments,CAN,2026,2026,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,United Nations Children's Fund,Multilateral Organizations,Nutrition,HTI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,3500000,CAD,1.443,343333,P015567 SM250172,2025-05-08,2026-02-03
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	Mali	2026,693001,"Canada, Government of",Governments,CAN,2026,2026,Mali Besoins Humanitaires et Plan de Réponse 2026,HMLI26,1511,United Nations Children's Fund,Multilateral Organizations,Nutrition,MLI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,1000000,CAD,1.443,343334,P015567 SM250172,2025-05-08,2026-02-17
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	Niger	2026,1039501,"Canada, Government of",Governments,CAN,2026,2026,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,1513,United Nations Children's Fund,Multilateral Organizations,Nutrition,NER,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,1500000,CAD,1.443,343335,P015567 SM250172,2025-05-08,2026-01-12
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	Nigeria	2026,2079002,"Canada, Government of",Governments,CAN,2026,2026,Nigeria Humanitarian Needs and Response Plan 2026,HNGA26,1508,United Nations Children's Fund,Multilateral Organizations,Nutrition,NGA,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,3000000,CAD,1.443,343336,P015567 SM250172,2025-05-08,2026-01-22
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	South Sudan	2026,2425502,"Canada, Government of",Governments,CAN,2026,2026,South Sudan Humanitarian Needs and Response Plan 2026,HSSD26,1512,United Nations Children's Fund,Multilateral Organizations,Nutrition,SSD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,3500000,CAD,1.443,343337,P015567 SM250172,2025-05-08,2026-01-14
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund		Sudan	2026,3811504,"Canada, Government of",Governments,CAN,2026,2026,Sudan Humanitarian Needs and Response Plan 2026,HSDN26,1514,United Nations Children's Fund,Multilateral Organizations,Nutrition,SDN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,5500000,CAD,1.443,343338,P015567 SM250172,2025-05-08,2026-01-14
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	Syria,2425502,"Canada, Government of",Governments,CAN,2026,2026,Syrian Arab Republic Humanitarian Response Priorities 2026,HSYR26,1518,United Nations Children's Fund,Multilateral Organizations,Nutrition,SYR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,3500000,CAD,1.443,343339,P015567 SM250172,2025-05-08,2026-01-12
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	West Bank and Gaza	2026,5003574,"Canada, Government of",Governments,CAN,2026,2026,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,1510,United Nations Children's Fund,Multilateral Organizations,Nutrition,PSE,,,oPt Complex Emergency 2023-24,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,7000000,CAD,1.399,343340,HAC-STATE OF PALESTINE SM250212  P015710  7466908,2025-07-11,2026-01-02
2025-05-08,2026,UNICEF - United Nations International Childrens Emergency Fund	Yemen	2026,1386001,"Canada, Government of",Governments,CAN,2026,2026,Yemen Humanitarian Needs and Response Plan 2026,HYEM26,1520,United Nations Children's Fund,Multilateral Organizations,Nutrition,YEM,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-04-07,,2000000,CAD,1.443,343341,P015710,2025-05-08,2026-01-12
2025-05-08,2026,UNHCR - United Nations High Commissioner for Refugees		Afghanistan	2026,693001,"Canada, Government of",Governments,CAN,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,United Nations High Commissioner for Refugees,Multilateral Organizations,Multi-sector,AFG,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,1000000,CAD,1.443,343368,P015654,2025-05-08,2026-02-11
2025-05-08,2026,UNHCR - United Nations High Commissioner for Refugees		Africa Regional	2026,242550,"Canada, Government of",Governments,CAN,2026,2026,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,Multi-sector,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,shared,commitment,2025-05-06,2025-03-09,,350000,CAD,1.443,343369,P015654,2025-05-08,2025-05-08
2025-05-08,2026,UNHCR - United Nations High Commissioner for Refugees	Bangladesh	2026,658351,"Canada, Government of",Governments,CAN,2026,2026,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,Multi-sector,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,950000,CAD,1.443,343370,P015654,2025-05-08,2025-05-08
2025-05-08,2026,UNHCR - United Nations High Commissioner for Refugees		Burkina Faso	2026,346500,"Canada, Government of",Governments,CAN,2026,2026,Burkina Faso Besoins Humanitaires et Plan de Réponse 2026,HBFA26,1499,United Nations High Commissioner for Refugees,Multilateral Organizations,Multi-sector,BFA,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,500000,CAD,1.443,343371,P015654,2025-05-08,2026-02-18
2025-05-08,2026,UNHCR - United Nations High Commissioner for Refugees		Burundi	2026,69300,"Canada, Government of",Governments,CAN,2026,2026,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,Multi-sector,BDI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,100000,CAD,1.443,343372,P015654,2025-05-08,2025-05-08
2025-05-08,2026,UNHCR - United Nations High Commissioner for Refugees	Cameroon	2026,103950,"Canada, Government of",Governments,CAN,2026,2026,Cameroon Humanitarian Needs and Response Plan 2026,HCMR26,1498,United Nations High Commissioner for Refugees,Multilateral Organizations,Multi-sector,CMR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,150000,CAD,1.443,343373,P015654,2025-05-08,2026-01-12
2025-05-08,2026,UNHCR - United Nations High Commissioner for Refugees		Central African Republic	2026,103950,"Canada, Government of",Governments,CAN,2026,2026,République Centrafricaine Besoins Humanitaires et Plan de Réponse 2026,HCAF26,1507,United Nations High Commissioner for Refugees,Multilateral Organizations,Multi-sector,CAF,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,150000,CAD,1.443,343374,P015654,2025-05-08,2026-01-19
2025-05-08,2026,UNHCR - United Nations High Commissioner for Refugees		Central America Regional	2026,693001,"Canada, Government of",Governments,CAN,2026,2026,,,,United Nations High Commissioner for Refugees,Multilateral Organizations,Multi-sector,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,1000000,CAD,1.443,343375,P015654,2025-05-08,2025-05-08
2025-05-08,2026,UNHCR - United Nations High Commissioner for Refugees	Chad	2026,1039501,"Canada, Government of",Governments,CAN,2026,2026,Tchad Besoins Humanitaires et Plan de Réponse 2026,HTCD26,1501,United Nations High Commissioner for Refugees,Multilateral Organizations,Multi-sector,TCD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,1500000,CAD,1.443,343376,P015654,2025-05-08,2026-02-06
2025-05-08,2026,UNHCR - United Nations High Commissioner for Refugees		Colombia	2026,103950,"Canada, Government of",Governments,CAN,2026,2026,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2026,RREG26b,1525,United Nations High Commissioner for Refugees,Multilateral Organizations,,COL,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2025-05-06,2025-03-09,,150000,CAD,1.443,343377,P015654,2025-05-08,2026-01-23
